break_point,delta_alpha,bias
0.8000,0.1000,-2.3020
0.8000,0.1500,-1.0101
0.8000,0.2000,-1.5764
0.8000,0.2500,-0.9987
0.8000,0.3000,-0.7245
0.9000,0.1000,3.6559
0.9000,0.1500,3.1080
0.9000,0.2000,5.0233
0.9000,0.2500,6.6870
0.9000,0.3000,7.8599
1.0000,0.1000,1.8499
1.0000,0.1500,2.3412
1.0000,0.2000,4.4248
1.0000,0.2500,5.4025
1.0000,0.3000,4.8173
1.1000,0.1000,2.4703
1.1000,0.1500,2.2128
1.1000,0.2000,1.7994
1.1000,0.2500,2.5578
1.1000,0.3000,1.9039
1.2000,0.1000,0.5952
1.2000,0.1500,0.2375
1.2000,0.2000,0.4364
1.2000,0.2500,-0.7981
1.2000,0.3000,1.5595
