rho,sigma_sys_shoes,sigma_sys_ours,ratio
0.0,1.1260550608207398,2.623928352680385,2.3301954264722196
0.049999999999999996,1.1317243480636088,2.6795522013948525,2.3676721332182984
0.09999999999999999,1.1373653766490346,2.734044622898463,2.4038402074042806
0.15,1.142978564978364,2.787471972953271,2.438778869843492
0.19999999999999998,1.1485643212288985,2.8398943642325856,2.4725601446456738
0.24999999999999997,1.1541230437002807,2.891366458960192,2.505249743294324
0.3,1.1596551211459378,2.94193813667113,2.5369078125261857
0.35,1.1651609330903607,2.9916550603303182,2.567589570992172
0.39999999999999997,1.170640850132952,3.040559159102154,2.59734585441541
0.44999999999999996,1.1760952342391326,3.0886890422961,2.626223584941493
0.49999999999999994,1.1815244390193544,3.136080356113344,2.6542661772753835
0.5499999999999999,1.186928809996623,3.1827660925679098,2.6815138917867913
0.6,1.1923086848631106,3.228776858192588,2.7080041428728543
0.6499999999999999,1.1976643937263896,3.27414110874898,2.7337717693701165
0.7,1.2029962593458055,3.3188853550552175,2.7588492726153957
